,oncopanel_v1,oncopanel_v2,oncopanel_v3,msk_impact341,msk_impact410,msk_impact468,vicc_01_t5a,vicc_01_t7
TAL1,,,O,,,,,
TAL2,,,O,,,,,
TAZ,,,O,,,,,
TDG,,,O,,,,,
TFE3,,,O,,,,,
TLR4,,O,,,,,,
TLX3,,,O,,,,,
TOPBP1,,,O,,,,,
TRAF3,,,O,,,,,
TRIM37,,,O,,,,,
UBE2T,,,O,,,,,
UIMC1,,,O,,,,,
UROD,,,O,,,,,
USP28,,,O,,,,,
USP8,,,O,,,,,
WAS,,,O,,,,,
WWTR1,,,,,,O,,
XRCC1,,,O,,,,,
XRCC4,,,O,,,,,
XRCC5,,,O,,,,,
XRCC6,,,O,,,,,
